slab,tile,gz,gy,gx,lz,ly,lx,orig_id,assigned_A,assigned_B,thickness_ratio,confidence,tier,mega_size_frac,mega_size_vox,scorable,mass_context
z1344,tile_y1792_x2240,1492,2092,2441,148,300,201,1884,1553,1407,3.11,0.186,2,0.1787,1175674,1,1.1437634989200864
z1344,tile_y1792_x2240,1501,2161,2343,157,369,103,1441,1620,1593,2.89,0.258,2,0.1787,1175674,1,0.9496524538160105
z1344,tile_y1792_x2240,1507,1838,2362,163,46,122,1531,1680,1559,3.56,0.548,2,0.1198,1097135,1,0.9931839276046098
z1344,tile_y1792_x2240,1513,2084,2344,169,292,104,1562,1536,1626,2.78,0.504,2,0.1787,1175674,1,1.0724289975359875
z1344,tile_y2240_x1344,1481,2293,1663,137,53,319,1298,457,1120,4.12,0.282,1,0.4141,3955087,1,1.0106044442837254
z1344,tile_y2240_x2240,1535,2315,2287,191,75,47,516,476,526,4.67,0.407,1,0.0366,240641,1,0.9540376850605653
z1344,tile_y2240_x448,1508,2294,892,164,54,444,239,67,221,4.8,0.441,1,0.042,181697,1,0.7928778718258767
z1344,tile_y896_x1344,1391,990,1708,47,94,364,1625,1608,1737,4.57,0.372,2,0.6738,337254,1,1.3013550428691207
z1344,tile_y896_x1344,1398,1143,1713,54,247,369,1827,1697,1597,2.14,0.577,2,0.3191,3118215,1,0.9052054181126161
z1344,tile_y896_x1344,1439,959,1750,95,63,406,1938,2073,1956,2.57,0.552,2,0.5859,1192831,1,1.1917944946417314
z1344,tile_y896_x1344,1455,929,1659,111,33,315,2104,609,2017,2.43,0.361,2,0.5859,1192831,1,1.0286666502693262
z1344,tile_y896_x1344,1458,950,1691,114,54,347,2116,1923,2017,2.71,0.296,2,0.5859,1192831,1,1.0731601335589809
z1344,tile_y896_x1344,1458,1203,1380,114,307,36,2280,2004,2195,2.43,0.47,2,0.0918,866865,1,0.7481019318950612
z1344,tile_y896_x1344,1486,986,1693,142,90,349,2682,2391,724,2.29,0.413,2,0.5859,1192831,1,1.021227225850808
z1344,tile_y896_x1344,1500,956,1736,156,60,392,2454,2380,2546,2.0,0.341,2,0.5859,1192831,1,1.1143212177694937
z1344,tile_y896_x1344,1503,1164,1460,159,268,116,2465,2342,2536,3.71,0.491,2,0.0918,866865,1,0.9748777190122082
z1344,tile_y896_x1344,1506,972,1764,162,76,420,2546,2357,2597,3.29,0.387,2,0.5859,1192831,1,1.146314889110645
z1344,tile_y896_x1344,1546,930,1662,202,34,318,2838,2775,2694,2.14,0.378,2,0.4589,1130876,1,1.1076392335947582
z1344,tile_y896_x448,1455,1321,807,111,425,359,533,168,478,4.86,0.31,1,0.0656,303705,1,1.150348874479154
z1344,tile_y896_x896,1515,1167,1251,171,271,355,1639,1583,836,3.71,0.246,2,0.0918,866865,1,0.9683147220139684
z1344,tile_y896_x896,1535,1176,1315,191,280,419,1636,1601,1654,2.71,0.652,2,0.0918,866865,1,1.1663445326314923
z1568,tile_y1344_x0,1777,1798,446,209,454,446,95,96,81,3.0,0.299,1,0.0724,133438,1,0.9945713501479154
z1568,tile_y1344_x0,1788,1794,444,220,450,444,96,95,93,2.89,0.458,1,0.0724,133438,1,0.9712654407417779
z1568,tile_y1344_x1792,1635,1701,1896,67,357,104,1173,1387,1114,4.33,0.487,2,0.0414,357676,1,0.8847692415190581
z1568,tile_y1792_x2240,1764,2121,2475,196,329,235,1453,1397,1545,2.22,0.38,2,0.1561,844466,1,0.8302972276825052
z1568,tile_y1792_x2240,1764,2230,2464,196,438,224,1412,1435,1402,1.89,0.244,2,0.1561,844466,1,0.787084067585778
z1568,tile_y1792_x2240,1783,2177,2460,215,385,220,1460,1394,1429,1.78,0.338,2,0.1561,844466,1,0.795848560477761
z1568,tile_y1792_x2240,1785,2110,2501,217,318,261,1545,1379,1446,4.78,0.194,2,0.1561,844466,1,1.0654899196992995
z1568,tile_y1792_x448,1620,2116,836,52,324,388,1440,1279,1278,4.14,0.392,2,0.3085,1503800,1,1.0626495215311005
z1568,tile_y1792_x448,1651,1855,498,83,63,50,1499,1458,1406,2.29,0.438,2,0.6139,927369,1,1.1300640631055787
z1568,tile_y1792_x448,1696,2257,725,128,465,277,1556,1520,1524,1.71,0.274,2,0.1728,900128,1,0.8763576106053346
z1568,tile_y1792_x448,1732,2251,513,164,459,65,1727,1627,1668,1.86,0.137,2,0.1728,900128,1,0.8645939650885871
z1568,tile_y1792_x448,1745,2142,481,177,350,33,1696,1740,1578,2.57,0.331,2,0.2664,310835,1,0.9229209908634168
z1568,tile_y1792_x448,1747,2181,914,179,389,466,469,473,660,3.14,0.148,2,0.0567,295251,1,1.073587297351391
z1568,tile_y1792_x448,1751,2233,664,183,441,216,1694,1759,1652,5.33,0.462,1,0.1728,900128,1,1.0851914832467129
z1568,tile_y1792_x448,1769,2000,700,201,208,252,602,497,396,1.86,0.751,2,0.0332,264531,1,0.7527193487970033
z1568,tile_y1792_x896,1618,2207,1024,50,415,128,1248,1134,1282,2.17,0.422,2,0.3209,1719508,1,1.1224819801729058
z1568,tile_y1792_x896,1624,2229,1067,56,437,171,1359,1229,1140,4.33,0.445,2,0.3209,1719508,1,1.2902358005052867
z1568,tile_y1792_x896,1685,2192,1369,117,400,473,1543,1716,1523,2.17,0.383,2,0.3636,2047781,1,1.0215748317142972
z1568,tile_y1792_x896,1716,2270,991,148,478,95,1706,646,639,4.83,0.14,2,0.0852,443887,1,0.9251563747671014
z1568,tile_y1792_x896,1728,2204,1313,160,412,417,1786,1683,1780,1.83,0.364,2,0.3636,2047781,1,0.8771891155372099
z1568,tile_y1792_x896,1735,2127,1328,167,335,432,605,682,667,2.0,0.353,2,0.0369,207887,1,0.7690322991654456
z1568,tile_y1792_x896,1747,2192,1136,179,400,240,1884,2355,1891,3.67,0.464,2,0.3636,2047781,1,1.0290981993966761
z1568,tile_y1792_x896,1748,2183,1180,180,391,284,2355,694,1992,3.33,0.281,2,0.3636,2047781,1,0.8986486486486487
z1568,tile_y1792_x896,1769,2175,955,201,383,59,2355,2163,2102,4.33,0.242,2,0.0567,295251,1,1.1343850806451612
z1568,tile_y1792_x896,1775,2234,1203,207,442,307,2355,2113,2045,4.33,0.523,2,0.3636,2047781,1,1.0674693479472412
z1568,tile_y1792_x896,1780,2189,959,212,397,63,2355,2082,2112,3.5,0.3,2,0.0567,295251,1,1.060432906152288
z1568,tile_y1792_x896,1780,2202,931,212,410,35,2081,2355,2186,2.0,0.384,2,0.0567,295251,1,0.9853638448011041
z1568,tile_y1792_x896,1789,2173,1186,221,381,290,2111,2072,807,2.0,0.327,2,0.3636,2047781,1,0.7732048143614851
z1568,tile_y2240_x1792,1670,2312,1992,102,72,200,484,474,450,3.62,0.434,1,0.0326,163222,1,1.1026591107236268
z1568,tile_y2240_x2240,1717,2285,2529,149,45,289,519,471,477,3.5,0.502,1,0.1561,844466,1,1.3396647561994182
z1568,tile_y2240_x448,1689,2278,768,121,38,320,365,402,387,3.71,0.339,1,0.1728,900128,1,0.8959137200328926
z1792,tile_y1344_x0,1829,1798,443,37,454,443,72,274,57,4.0,0.191,1,0.0645,131006,1,0.8057468169404162
z1792,tile_y1344_x0,1846,1729,474,54,385,474,274,59,77,3.2,0.912,1,0.0645,131006,1,0.5973253045791906
z1792,tile_y1344_x1344,1965,1377,1590,173,33,246,896,1023,861,5.8,0.479,1,0.0343,324121,1,0.8664270768753874
z1792,tile_y1344_x448,1958,1444,744,166,100,296,297,328,300,6.2,0.295,1,0.0401,60767,1,0.8279153614279804
z1792,tile_y1344_x896,1991,1430,1359,199,86,463,333,407,387,6.4,0.122,1,0.1461,624318,1,0.8559441908313509
z1792,tile_y1792_x0,1933,1889,346,141,97,346,641,494,515,7.0,0.548,1,0.1154,260339,1,1.0811084787461844
z1792,tile_y1792_x1792,1896,1920,2229,104,128,437,85,286,575,1.83,0.215,2,0.0407,343515,1,0.9401235145503883
z1792,tile_y1792_x1792,1925,1831,2180,133,39,388,631,835,702,2.17,0.455,2,0.0424,363198,1,0.8355702094647013
z1792,tile_y1792_x1792,1962,2135,1845,170,343,53,752,850,916,2.17,0.197,2,0.0315,145045,1,0.8029985541562769
z1792,tile_y1792_x2240,1857,2250,2601,65,458,361,999,1017,989,3.0,0.418,2,0.2265,94966,1,0.9350785091574222
z1792,tile_y1792_x2240,1871,2198,2580,79,406,340,1163,1037,1032,2.86,0.638,2,0.2067,86689,1,0.9406289859693877
z1792,tile_y1792_x2240,1990,2236,2570,198,444,330,1145,1129,606,2.0,0.209,2,0.683,461100,1,0.9057392857867917
z1792,tile_y896_x1344,1931,1373,1543,139,477,199,1269,976,1247,4.14,0.476,1,0.0343,324121,1,0.9222512077294686
z1792,tile_y896_x1792,1905,1264,1913,113,368,121,236,480,509,2.17,0.208,2,0.0888,782220,1,0.85225740157986
z1792,tile_y896_x1792,1910,1022,1892,118,126,100,544,9,279,4.33,0.273,2,0.0419,31179,1,0.6897586084487043
z1792,tile_y896_x1792,1914,1277,1851,122,381,59,1028,464,236,3.17,0.222,2,0.0888,782220,1,0.8196746221483853
z1792,tile_y896_x1792,1925,1283,1837,133,387,45,1065,1041,1086,2.17,0.309,2,0.3898,3681498,1,0.8427242948534747
z1792,tile_y896_x1792,1948,1264,1833,156,368,41,1052,1065,654,2.0,0.494,2,0.3898,3681498,1,0.9125969738094756
z1792,tile_y896_x1792,1951,1142,1947,159,246,155,1173,1240,1167,2.67,0.322,2,0.3898,3681498,1,1.080619862042899
z1792,tile_y896_x1792,1951,1211,1882,159,315,90,1143,1099,1090,4.33,0.324,2,0.3898,3681498,1,1.1000467872738615
z1792,tile_y896_x1792,1953,1135,2006,161,239,214,1153,444,672,2.83,0.169,2,0.3898,3681498,1,0.8820579457088908
z1792,tile_y896_x1792,1965,1228,1829,173,332,37,1137,1107,679,2.5,0.335,2,0.3898,3681498,1,0.92
z1792,tile_y896_x1792,1979,1077,1957,187,181,165,1243,1235,1281,2.0,0.571,2,0.3898,3681498,1,0.9468344453405675
z1792,tile_y896_x1792,2008,1291,1957,216,395,165,1279,1345,1540,4.5,0.243,2,0.3898,3681498,1,0.8899075777763679
z1792,tile_y896_x2240,1861,1369,2459,69,473,219,518,161,120,4.67,0.612,1,0.0368,290365,1,0.7981700052125996
z1792,tile_y896_x2240,1947,1175,2384,155,279,144,655,196,224,8.17,0.512,1,0.0501,323996,1,0.9934788515533013
z1792,tile_y896_x896,1842,1214,1262,50,318,366,379,313,314,4.67,0.733,1,0.0469,249454,1,0.8854283268584974
z1792,tile_y896_x896,1849,1236,1264,57,340,368,379,304,314,6.0,0.329,1,0.0469,249454,1,0.9974517848079851
z2016,tile_y1344_x1344,2192,1485,1617,176,141,273,457,885,515,9.8,0.332,1,0.1136,505355,1,1.0356977700133594
z2016,tile_y1344_x448,2115,1655,833,99,311,385,84,81,87,5.2,0.902,1,0.0594,470937,1,0.753807507167846
z2016,tile_y1792_x1344,2218,2241,1789,202,449,445,2668,2486,1196,4.29,0.193,1,0.1163,997860,1,0.9199603602216748
z2016,tile_y1792_x448,2178,1941,666,162,149,218,1150,1046,1160,4.67,0.223,1,0.0411,303297,1,1.1941363275490529
z2016,tile_y2240_x1344,2074,2415,1798,58,175,454,1191,881,711,1.73,0.345,2,0.4163,3864556,1,1.1235077032524843
z2016,tile_y2240_x1344,2108,2415,1608,92,175,264,1015,851,1145,2.55,0.297,2,0.4163,3864556,1,0.9999323974130744
z2016,tile_y2240_x1344,2111,2428,1406,95,188,62,1253,1028,974,2.73,0.671,2,0.6275,5901655,1,1.0363634455545294
z2016,tile_y2240_x1344,2114,2342,1556,98,102,212,1019,979,1150,3.64,0.561,2,0.4163,3864556,1,1.0118292610191058
z2016,tile_y2240_x1344,2118,2338,1627,102,98,283,1078,1049,1069,2.55,0.256,2,0.4163,3864556,1,1.0081946019054437
z2016,tile_y2240_x1344,2144,2322,1536,128,82,192,1369,1354,1314,2.45,0.461,2,0.4163,3864556,1,1.0217451688425063
z2016,tile_y2240_x1344,2159,2334,1808,143,94,464,1183,1570,1316,2.36,0.399,2,0.4163,3864556,1,1.011546478461201
z2016,tile_y2240_x1344,2166,2317,1795,150,77,451,1183,1329,1570,2.36,0.289,2,0.4163,3864556,1,1.0855493418549798
z2016,tile_y2240_x1344,2175,2276,1749,159,36,405,1417,1411,1511,3.27,0.571,2,0.4163,3864556,1,0.901045864705998
z2016,tile_y2240_x2240,2115,2272,2441,99,32,201,270,284,261,4.67,0.671,1,0.041,218519,1,0.9714626971748959
z2016,tile_y2240_x896,2080,2307,1234,64,67,338,680,1022,686,4.44,0.34,1,0.6275,5901655,1,1.053702806291026
z2016,tile_y896_x1344,2056,1265,1637,40,369,293,513,418,391,1.78,0.406,2,0.0466,299512,1,1.13155584814571
z2016,tile_y896_x1344,2067,1121,1790,51,225,446,513,395,465,1.67,0.329,2,0.1285,825513,1,1.3217608684027593
z2016,tile_y896_x1344,2067,1255,1542,51,359,198,397,369,513,1.67,0.62,2,0.0466,299512,1,1.0023086337338674
z2016,tile_y896_x1344,2086,1146,1718,70,250,374,513,159,476,2.89,0.42,2,0.1285,825513,1,1.1508322992999789
z2016,tile_y896_x1344,2093,1273,1531,77,377,187,367,492,513,2.89,0.687,2,0.0318,72665,1,1.096420006356728
z2016,tile_y896_x1344,2096,1263,1509,80,367,165,367,513,213,2.33,0.256,2,0.0318,72665,1,1.0044110552071128
z2016,tile_y896_x1344,2099,1169,1679,83,273,335,513,525,534,1.89,0.448,2,0.1285,825513,1,1.0011056209221698
z2016,tile_y896_x1792,2050,1099,2001,34,203,209,846,29,855,2.14,0.257,2,0.0411,263883,1,0.9471737982039091
z2016,tile_y896_x1792,2065,1072,2053,49,176,261,855,1023,840,3.71,0.508,2,0.033,265632,1,1.0566780663647286
z2016,tile_y896_x1792,2069,1129,1898,53,233,106,1032,1022,255,2.0,0.154,2,0.1285,825513,1,1.1480246857966576
z2016,tile_y896_x1792,2075,1052,1825,59,156,33,1032,228,1087,2.29,0.434,2,0.1285,825513,1,1.0988434447375286
z2016,tile_y896_x1792,2082,1019,2036,66,123,244,1233,1018,1052,2.43,0.256,2,0.6371,247031,1,1.1508475763519193
z2016,tile_y896_x1792,2115,985,2212,99,89,420,320,1081,1146,1.86,0.356,2,0.0771,68643,1,0.975113405941008
z2016,tile_y896_x1792,2127,1126,1981,111,230,189,1147,437,1233,1.86,0.276,2,0.0411,263883,1,0.8668294070246955
z2016,tile_y896_x1792,2140,1216,2217,124,320,425,345,441,364,2.0,0.508,2,0.0953,767175,1,0.7756561844863732
z2016,tile_y896_x1792,2146,1057,2121,130,161,329,1179,1196,1175,2.29,0.375,2,0.033,265632,1,0.9828735980600182
z2016,tile_y896_x1792,2148,981,2181,132,85,389,1183,447,474,2.14,0.215,2,0.4774,424841,1,0.869911438565156
z2016,tile_y896_x1792,2148,996,2121,132,100,329,1149,1210,1186,1.71,0.356,2,0.4774,424841,1,1.0213163676909454
z2016,tile_y896_x1792,2238,1037,2135,222,141,343,1285,1283,1286,3.0,0.556,2,0.0425,360533,1,0.9485662416063343
z2016,tile_y896_x2240,2099,1126,2307,83,230,67,420,109,71,2.17,0.474,2,0.0953,767175,1,0.7647347433033385
z2016,tile_y896_x2240,2157,1159,2324,141,263,84,584,491,594,6.67,0.365,2,0.0953,767175,1,0.9851592368683729
z2016,tile_y896_x2240,2173,1172,2341,157,276,101,584,259,272,2.17,0.18,2,0.0953,767175,1,0.9229091351501668
z224,tile_y1344_x1792,282,1810,1859,58,466,67,33,32,43,1.73,0.551,1,0.9178,4319342,1,2.2633279146346545
z224,tile_y1792_x1792,337,2171,2188,113,379,396,578,561,491,1.82,0.225,1,0.8829,2608645,1,1.394054054054054
z224,tile_y1792_x3584,279,1985,3672,55,193,88,80,83,86,3.31,0.268,1,0.5364,359798,1,1.005749379328368
z224,tile_y2240_x1344,422,2296,1763,198,56,419,70,62,71,3.71,0.763,1,0.0641,42838,1,0.606096689688021
z2240,tile_y1344_x1792,2372,1623,2246,132,279,454,265,747,677,1.83,0.149,2,0.0351,314127,1,0.8787340439531517
z2240,tile_y1344_x1792,2412,1568,2166,172,224,374,929,697,740,4.67,0.778,2,0.0351,314127,1,0.6466244725738397
z2240,tile_y1344_x2240,2355,1416,2306,115,72,66,1143,214,1041,2.75,0.616,2,0.152,1316099,1,0.8601663585951941
z2240,tile_y1344_x2240,2381,1436,2363,141,92,123,1084,1143,1092,3.12,0.37,2,0.152,1316099,1,0.9974512353706112
z2240,tile_y1344_x2240,2405,1765,2558,165,421,318,1297,499,1424,3.12,0.29,2,0.0322,288223,1,0.879640221402214
z2240,tile_y1344_x2240,2408,1800,2502,168,456,262,1297,1137,281,2.12,0.527,2,0.0322,288223,1,1.0313034810900268
z2240,tile_y1792_x0,2408,2140,444,168,348,444,274,209,267,4.43,0.173,1,0.0336,37443,1,0.7781774580335732
z2240,tile_y1792_x1344,2399,2184,1678,159,392,334,365,491,798,4.0,0.308,1,0.0462,407916,1,0.8466024555461473
z2240,tile_y1792_x1792,2281,2028,1851,41,236,59,12,81,67,2.83,0.24,2,0.0818,742785,1,0.9146470678893427
z2240,tile_y1792_x1792,2293,2039,1904,53,247,112,12,137,122,1.67,0.49,2,0.0818,742785,1,0.7299919807538091
z2240,tile_y1792_x1792,2375,1946,1841,135,154,49,1105,1038,1055,4.83,0.299,2,0.1833,1658520,1,1.117808615206707
z2240,tile_y1792_x1792,2386,1877,1842,146,85,50,1087,1163,1045,3.33,0.374,2,0.1833,1658520,1,1.0282116029368078
z2240,tile_y1792_x1792,2397,1947,1911,157,155,119,1105,1102,1065,5.6,0.325,1,0.1833,1658520,1,0.9161463353308469
z2240,tile_y1792_x1792,2417,1948,1901,177,156,109,1127,1175,1102,2.33,0.47,2,0.1833,1658520,1,0.8158185610010428
z2240,tile_y1792_x1792,2419,1862,1927,179,70,135,1163,1161,1123,7.83,0.179,2,0.1833,1658520,1,0.8278050820872112
z2240,tile_y1792_x2240,2359,1971,2600,119,179,360,1171,279,1341,2.0,0.407,2,0.19,309994,1,0.9733960461527155
z2240,tile_y1792_x2240,2405,2041,2657,165,249,417,1606,1300,1382,2.17,0.136,2,0.0486,79215,1,0.9533685407268859
z2240,tile_y1792_x2240,2426,2133,2717,186,341,477,1429,633,1606,1.83,0.626,2,0.2104,576516,1,1.1353920252328282
z2240,tile_y1792_x2240,2433,2153,2697,193,361,457,1429,1398,1412,4.33,0.485,2,0.3742,2162543,1,1.0654684823927483
z2240,tile_y1792_x2240,2435,2266,2708,195,474,468,1522,1548,1436,2.33,0.744,2,0.3742,2162543,1,0.9168631343839186
z2240,tile_y1792_x2240,2450,2122,2693,210,330,453,1482,1505,1553,4.33,0.36,2,0.3742,2162543,1,1.037703874314177
z2240,tile_y1792_x2688,2442,2074,2739,202,282,51,377,417,386,2.73,0.378,2,0.0671,387681,1,0.9104776517944324
z2240,tile_y1792_x2688,2453,2247,2831,213,455,143,481,423,405,1.64,0.338,2,0.3742,2162543,1,0.95098158947272
z2240,tile_y1792_x2688,2459,2114,2814,219,322,126,421,131,417,2.27,0.554,2,0.3742,2162543,1,0.8326086439993348
z2240,tile_y1792_x896,2283,2145,1337,43,353,441,53,219,271,6.0,0.135,1,0.0342,264801,1,0.9836836760112672
z2240,tile_y1792_x896,2436,1920,1066,196,128,170,660,402,775,2.6,0.264,2,0.031,266400,1,0.6668601070633379
z2240,tile_y1792_x896,2440,1944,1151,200,152,255,719,760,874,7.2,0.751,1,0.031,266400,1,0.6144425463497966
z2240,tile_y2240_x1792,2385,2537,2203,145,297,411,932,432,1025,5.33,0.11,1,0.0333,265741,1,0.9599454136392137
z2240,tile_y2240_x1792,2433,2540,2223,193,300,431,1411,1159,1183,5.83,0.276,1,0.0663,609955,1,0.9620960737589916
z2240,tile_y2240_x2240,2272,2320,2598,32,80,358,767,704,752,2.14,0.268,2,0.3309,318544,1,1.137489129937297
z2240,tile_y2240_x2240,2302,2302,2654,62,62,414,674,111,803,2.71,0.518,2,0.3309,318544,1,0.9653581645605592
z2240,tile_y2240_x2240,2327,2326,2694,87,86,454,777,128,774,3.86,0.268,2,0.1297,355520,1,0.8891928666550866
z2240,tile_y2240_x2240,2375,2361,2692,135,121,452,915,917,862,1.71,0.145,2,0.1297,355520,1,0.9381150409684194
z2240,tile_y2240_x2240,2380,2324,2687,140,84,447,917,904,835,3.71,0.232,2,0.1297,355520,1,0.9994183829138062
z2240,tile_y2240_x2240,2398,2317,2715,158,77,475,917,908,904,3.14,0.601,2,0.1297,355520,1,1.1266477961989487
z2240,tile_y2240_x2240,2408,2291,2688,168,51,448,917,904,864,1.71,0.271,2,0.1297,355520,1,1.007432918880003
z2240,tile_y2240_x2240,2417,2609,2300,177,369,60,1062,380,921,3.71,0.232,2,0.789,724761,1,1.6438998957247133
z2240,tile_y2240_x2240,2457,2513,2494,217,273,254,988,1043,977,3.43,0.377,2,0.0694,638636,1,0.9595134852538673
z2240,tile_y2240_x2240,2462,2553,2277,222,313,37,1062,1006,993,1.71,0.352,2,0.0694,638636,1,1.1157720570344056
z2240,tile_y896_x1792,2283,1031,2157,43,135,365,10,49,6,2.0,0.285,2,0.0425,360533,1,0.8122366992399566
z2240,tile_y896_x1792,2340,1109,2164,100,213,372,982,1066,1059,2.14,0.604,2,0.0502,434626,1,0.881003636838071
z2240,tile_y896_x1792,2355,1315,2066,115,419,274,1013,1110,1092,3.86,0.386,2,0.0322,278724,1,1.0626232837919654
z2240,tile_y896_x1792,2396,1139,2132,156,243,340,1239,1216,1252,1.86,0.511,2,0.0502,434626,1,1.0386798542030526
z2240,tile_y896_x1792,2417,1230,2003,177,334,211,1254,1296,1184,1.86,0.447,2,0.0639,265692,1,0.94994977304859
z2240,tile_y896_x1792,2423,1327,2196,183,431,404,303,545,1391,2.29,0.175,2,0.152,1316099,1,0.9342552862499517
z2240,tile_y896_x1792,2440,1225,2050,200,329,258,1340,1390,1320,4.71,0.41,2,0.0863,782760,1,0.9727457259348697
z2240,tile_y896_x1792,2452,1200,2121,212,304,329,1416,1458,1389,4.57,0.291,2,0.0863,782760,1,1.0474438455453559
z2464,tile_y1344_x2240,2507,1399,2622,43,55,382,103,281,248,6.71,0.358,1,0.0398,31836,1,0.9176316245988377
z2464,tile_y1344_x2688,2504,1770,2727,40,426,39,288,305,570,3.0,0.46,2,0.2329,1010898,1,1.3437967900391394
z2464,tile_y1344_x2688,2549,1719,2749,85,375,61,570,21,340,2.22,0.18,2,0.2329,1010898,1,1.009856084538787
z2464,tile_y1344_x448,2520,1799,608,56,455,160,806,868,812,5.33,0.59,1,0.0904,753191,1,0.8490566037735849
z2464,tile_y1344_x448,2590,1726,542,126,382,94,1253,1021,1049,4.33,0.315,1,0.0484,415067,1,0.8558442382089931
z2464,tile_y1344_x448,2664,1750,530,200,406,82,1285,1451,1281,4.67,0.409,1,0.0484,415067,1,0.7716126448694997
z2464,tile_y1344_x448,2679,1710,519,215,366,71,1451,1328,1336,5.0,0.431,1,0.0484,415067,1,1.0173503458144526
z2464,tile_y1792_x0,2497,1898,371,33,106,371,639,37,348,5.75,0.247,2,0.1835,406996,1,1.018520974229766
z2464,tile_y1792_x0,2557,1956,409,93,164,409,423,639,410,1.88,0.248,2,0.1835,406996,1,0.9596635106120869
z2464,tile_y1792_x0,2596,2104,473,132,312,473,455,628,496,1.62,0.203,2,0.2642,110140,1,0.8394400245350074
z2464,tile_y1792_x0,2602,1856,479,138,64,479,509,517,539,2.0,0.722,2,0.5721,1086594,1,0.9642145702902675
z2464,tile_y1792_x0,2619,1896,391,155,104,391,639,526,175,1.88,0.156,2,0.5721,1086594,1,0.9382039458764835
z2464,tile_y1792_x0,2622,1964,428,158,172,428,639,533,580,2.25,0.413,2,0.5721,1086594,1,1.0386413151119034
z2464,tile_y1792_x0,2639,1859,395,175,67,395,639,191,224,2.25,0.285,2,0.5721,1086594,1,1.009244817870799
z2464,tile_y1792_x1792,2502,2167,2083,38,375,291,237,235,183,3.0,0.319,2,0.0422,388177,1,0.8449233033086596
z2464,tile_y1792_x1792,2506,2246,2117,42,454,325,237,151,160,2.83,0.294,2,0.0422,388177,1,0.8295620437956205
z2464,tile_y1792_x1792,2536,2097,2001,72,305,209,1294,1205,1273,2.17,0.234,2,0.0724,633454,1,0.8939125131673782
z2464,tile_y1792_x1792,2551,2131,2009,87,339,217,1286,1279,1236,1.83,0.245,2,0.0724,633454,1,0.9169176365438048
z2464,tile_y1792_x1792,2552,2121,2027,88,329,235,1308,1279,1199,4.33,0.485,2,0.0724,633454,1,0.9432164557217546
z2464,tile_y1792_x1792,2560,2250,2052,96,458,260,262,369,1287,1.83,0.226,2,0.0623,574796,1,0.884631288766368
z2464,tile_y1792_x1792,2617,2166,2188,153,374,396,1365,1411,1392,3.17,0.284,2,0.0623,574796,1,0.8800291635004416
z2464,tile_y1792_x1792,2627,2221,2144,163,429,352,1393,1360,1355,2.67,0.432,2,0.0623,574796,1,0.8147957398841684
z2464,tile_y1792_x2240,2603,1932,2367,139,140,127,662,352,615,2.0,0.252,2,0.0342,234481,1,0.7607846802500675
z2464,tile_y1792_x2240,2606,2026,2573,142,234,333,1474,1440,1419,3.0,0.323,2,0.082,512861,1,0.9238498251309103
z2464,tile_y1792_x2240,2620,2006,2650,156,214,410,1477,1515,1537,4.29,0.463,2,0.082,512861,1,1.0924265366961623
z2464,tile_y1792_x448,2675,1906,801,211,114,353,1550,1568,1612,5.57,0.369,1,0.0895,767595,1,0.9441699144087866
z2464,tile_y2240_x448,2591,2274,714,127,34,266,365,333,373,4.43,0.581,1,0.0721,414599,1,1.1880204363903237
z2464,tile_y2240_x448,2591,2284,773,127,44,325,358,491,339,4.0,0.597,1,0.0721,414599,1,1.1561826747792325
z2464,tile_y896_x1344,2637,1371,1727,173,475,383,187,32,194,4.0,0.488,1,0.0412,144054,1,0.8640783064818284
z2464,tile_y896_x2240,2504,1338,2362,40,442,122,644,44,667,2.5,0.411,2,0.1651,1496769,1,0.9014856099370375
z2464,tile_y896_x2240,2508,1337,2493,44,441,253,665,626,652,2.33,0.153,2,0.1651,1496769,1,0.8283217590536917
z2464,tile_y896_x2240,2509,1314,2343,45,418,103,44,613,231,2.83,0.278,2,0.1651,1496769,1,0.8741259393238733
z2464,tile_y896_x2240,2512,1282,2404,48,386,164,692,597,25,2.17,0.144,2,0.1651,1496769,1,0.865228035684478
z2464,tile_y896_x2240,2521,1334,2446,57,438,206,652,737,648,1.83,0.571,2,0.1651,1496769,1,0.9494082946656595
z2464,tile_y896_x2240,2538,1341,2374,74,445,134,763,714,277,4.33,0.265,2,0.1651,1496769,1,0.9256571131571132
z2464,tile_y896_x2240,2556,1360,2479,92,464,239,754,849,737,2.0,0.214,2,0.1651,1496769,1,0.8437565462474529
z2688,tile_y1344_x0,2786,1786,465,98,442,465,157,221,31,1.71,0.363,2,0.3821,479453,1,1.0257910494491518
z2688,tile_y1344_x448,2749,1736,760,61,392,312,980,993,968,2.0,0.546,2,0.0373,323081,1,0.826232796928254
z2688,tile_y1344_x448,2765,1643,720,77,299,272,1200,1016,996,3.14,0.377,2,0.0373,323081,1,0.8368855406863395
z2688,tile_y1344_x448,2831,1639,845,143,295,397,1124,1066,1074,4.71,0.496,2,0.0306,263191,1,0.8288315019717447
z2688,tile_y1344_x448,2849,1659,826,161,315,378,1197,1241,1142,1.86,0.833,2,0.0306,263191,1,0.942794547224927
z2688,tile_y1344_x448,2865,1683,827,177,339,379,1130,1241,1224,2.0,0.515,2,0.0306,263191,1,0.8844042824049919
z2688,tile_y1792_x1344,2879,2064,1501,191,272,157,1671,1714,1713,3.43,0.338,2,0.031,271642,1,0.9646110214052085
z2688,tile_y1792_x1792,2725,2023,1885,37,231,93,1305,1433,1296,3.57,0.487,2,0.1482,1317128,1,0.8911638575845218
